Week_Ending_Date;Week number;month;year;Season;Sum attendance emergency;Diferencia atttendance;Attendance de la semana anterior en emergencias;Attendance de la semana anterior;Semana con fecha de fin de mes;Semana con holidays;NHS_Board_Code;NHS_Board_Name;Location_Code;Location_Name;Attendance;Number_Over_4_Hours;Percentage_Within_4_Hours;Number_Over_8_Hours;Percentage_Within_8_Hours;Number_Over_12_Hours;Percentage_Within_12_Hours;Data_Source;Fundacion;Beds;Number location;Location_Name
42141;21;5;2015;1;42;1034;89;965;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1076;39;96;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42148;22;5;2015;1;68;970;42;1034;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1038;63;94;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42155;23;5;2015;1;83;1006;68;970;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1089;79;93;4;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42162;24;6;2015;1;79;1025;83;1006;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1104;79;93;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42169;25;6;2015;1;123;1037;79;1025;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1160;116;90;7;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42176;26;6;2015;1;164;1013;123;1037;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1177;150;87;14;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42183;27;6;2015;1;86;1035;164;1013;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1121;80;93;6;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42190;28;7;2015;2;61;1035;86;1035;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1096;58;95;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42197;29;7;2015;2;92;971;61;1035;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1063;89;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42204;30;7;2015;2;39;1068;92;971;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1107;39;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42211;31;7;2015;2;72;1046;39;1068;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1118;71;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42218;32;8;2015;2;64;1083;72;1046;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1147;64;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42225;33;8;2015;2;110;1071;64;1083;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1181;109;91;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42232;34;8;2015;2;134;1014;110;1071;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1148;127;89;7;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42239;35;8;2015;2;89;1128;134;1014;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1217;88;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42246;36;8;2015;2;77;1082;89;1128;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1159;75;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42253;37;9;2015;3;55;1043;77;1082;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1098;55;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42260;38;9;2015;3;80;1115;55;1043;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1195;78;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42267;39;9;2015;3;39;1075;80;1115;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1114;39;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42274;40;9;2015;3;66;1124;39;1075;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1190;62;95;4;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42281;41;10;2015;3;75;1159;66;1124;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1234;73;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42288;42;10;2015;3;59;1037;75;1159;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1096;59;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42295;43;10;2015;3;42;967;59;1037;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1009;41;96;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42302;44;10;2015;3;86;997;42;967;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1083;84;92;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42309;45;11;2015;0;93;1068;86;997;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1161;88;92;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42316;46;11;2015;0;67;1060;93;1068;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1127;65;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42323;47;11;2015;0;55;1037;67;1060;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1092;53;95;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42330;48;11;2015;0;36;991;55;1037;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1027;36;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42337;49;11;2015;0;56;999;36;991;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1055;55;95;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42344;50;12;2015;0;86;1038;56;999;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1124;86;92;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42351;51;12;2015;0;63;1010;86;1038;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1073;61;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42358;52;12;2015;0;63;984;63;1010;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1047;62;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42365;53;12;2015;0;56;898;63;984;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;954;54;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42372;2;1;2016;0;35;1030;56;898;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1065;34;97;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42379;3;1;2016;0;64;966;35;1030;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1030;61;94;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42386;4;1;2016;0;71;914;64;966;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;985;68;93;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42393;5;1;2016;0;69;944;71;914;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1013;67;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42400;6;1;2016;0;65;979;69;944;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1044;62;94;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42407;7;2;2016;0;61;1054;65;979;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1115;59;95;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42414;8;2;2016;0;76;1072;61;1054;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1148;76;93;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42421;9;2;2016;0;42;1055;76;1072;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1097;42;96;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42428;10;2;2016;0;79;1088;42;1055;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1167;77;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42435;11;3;2016;0;65;1085;79;1088;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1150;65;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42442;12;3;2016;0;152;1029;65;1085;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1181;145;88;7;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42449;13;3;2016;0;78;1031;152;1029;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1109;74;93;4;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42456;14;3;2016;0;72;1018;78;1031;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1090;71;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42463;15;4;2016;0;58;1106;72;1018;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1164;57;95;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42470;16;4;2016;0;47;988;58;1106;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1035;45;96;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42477;17;4;2016;0;102;987;47;988;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1089;97;91;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42484;18;4;2016;0;47;1044;102;987;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1091;45;96;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42491;19;5;2016;1;47;986;47;1044;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1033;47;96;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42498;20;5;2016;1;60;1047;47;986;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1107;60;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42505;21;5;2016;1;68;1054;60;1047;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1122;68;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42512;22;5;2016;1;70;1086;68;1054;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1156;67;94;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42519;23;5;2016;1;87;1078;70;1086;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1165;85;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42526;24;6;2016;1;69;1004;87;1078;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1073;68;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42533;25;6;2016;1;34;1087;69;1004;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1121;34;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42540;26;6;2016;1;77;991;34;1087;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1068;74;93;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42547;27;6;2016;1;76;1056;77;991;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1132;76;93;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42554;28;7;2016;2;32;1039;76;1056;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1071;31;97;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42561;29;7;2016;2;68;1042;32;1039;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1110;67;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42568;30;7;2016;2;52;1123;68;1042;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1175;50;96;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42575;31;7;2016;2;65;1113;52;1123;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1178;65;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42582;32;7;2016;2;98;1034;65;1113;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1132;96;92;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42589;33;8;2016;2;32;1064;98;1034;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1096;32;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42596;34;8;2016;2;33;1018;32;1064;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1051;33;97;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42603;35;8;2016;2;80;1044;33;1018;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1124;79;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42610;36;8;2016;2;91;1068;80;1044;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1159;88;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42617;37;9;2016;3;77;1121;91;1068;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1198;77;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42624;38;9;2016;3;140;1098;77;1121;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1238;138;89;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42631;39;9;2016;3;132;1061;140;1098;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1193;127;89;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42638;40;9;2016;3;97;1022;132;1061;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1119;97;91;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42645;41;10;2016;3;104;1083;97;1022;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1187;101;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42652;42;10;2016;3;86;1084;104;1083;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1170;86;93;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42659;43;10;2016;3;87;1025;86;1084;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1112;87;92;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42666;44;10;2016;3;89;1005;87;1025;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1094;84;92;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42673;45;10;2016;3;104;1026;89;1005;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1130;101;91;2;100;1;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42680;46;11;2016;0;78;961;104;1026;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1039;75;93;2;100;1;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42687;47;11;2016;0;54;1005;78;961;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1059;54;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42694;48;11;2016;0;73;934;54;1005;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1007;71;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42701;49;11;2016;0;62;1014;73;934;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1076;62;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42708;50;12;2016;0;97;1094;62;1014;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1191;95;92;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42715;51;12;2016;0;99;1001;97;1094;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1100;92;92;7;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42722;52;12;2016;0;124;978;99;1001;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1102;115;90;9;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42729;53;12;2016;0;150;864;124;978;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1014;138;86;12;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42736;1;1;2017;0;199;950;150;864;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1149;191;83;8;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42743;2;1;2017;0;140;998;199;950;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1138;132;88;8;99;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42750;3;1;2017;0;90;888;140;998;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;978;85;91;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42757;4;1;2017;0;56;928;90;888;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;984;55;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42764;5;1;2017;0;89;957;56;928;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1046;86;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42771;6;2;2017;0;115;925;89;957;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1040;112;89;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42778;7;2;2017;0;79;939;115;925;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1018;75;93;4;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42785;8;2;2017;0;84;959;79;939;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1043;83;92;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42792;9;2;2017;0;62;1040;84;959;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1102;62;94;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42799;10;3;2017;0;78;976;62;1040;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1054;76;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42806;11;3;2017;0;77;1060;78;976;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1137;76;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42813;12;3;2017;0;73;1049;77;1060;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1122;70;94;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42820;13;3;2017;0;85;1032;73;1049;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1117;84;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42827;14;4;2017;0;90;1030;85;1032;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1120;89;92;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42834;15;4;2017;0;72;1059;90;1030;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1131;70;94;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42841;16;4;2017;0;76;970;72;1059;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1046;74;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42848;17;4;2017;0;85;1025;76;970;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1110;85;92;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42855;18;4;2017;0;90;1003;85;1025;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1093;85;92;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42862;19;5;2017;1;87;1072;90;1003;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1159;83;93;4;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42869;20;5;2017;1;66;1021;87;1072;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1087;62;94;3;100;1;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42876;21;5;2017;1;49;1074;66;1021;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1123;49;96;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42883;22;5;2017;1;90;1106;49;1074;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1196;89;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42890;23;6;2017;1;74;1107;90;1106;1;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1181;73;94;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42897;24;6;2017;1;55;1022;74;1107;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1077;55;95;0;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42904;25;6;2017;1;62;1104;55;1022;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1166;60;95;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42911;26;6;2017;1;45;1093;62;1104;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1138;44;96;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42918;27;7;2017;2;78;1005;45;1093;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1083;75;93;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42925;28;7;2017;2;83;1005;78;1005;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1088;81;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42932;29;7;2017;2;99;1024;83;1005;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1123;96;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42939;30;7;2017;2;94;996;99;1024;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1090;93;92;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42946;31;7;2017;2;75;981;94;996;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1056;74;93;1;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42953;32;8;2017;2;94;1015;75;981;1;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1109;91;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42960;33;8;2017;2;91;1016;94;1015;0;1;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1107;88;92;3;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42967;34;8;2017;2;143;1039;91;1016;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1182;138;88;5;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
42974;35;8;2017;2;78;1054;143;1039;0;0;N;NHS Grampian;N101H;Aberdeen Royal Infirmary;1132;76;93;2;100;0;100;ISD A&E Datamart;1737;922;8;Aberdeen Royal Infirmary
